location,title,subtitle,year_km_fuel,price,detail_url
Dusseldorp Wateringen,BMW 2 Serie,Active Tourer 223i xDrive,2024 | 9682 km | Benzine,€ 51.450,https://www.dusseldorpbmw.nl/aanbod/bmw-2-serie-occasion-active-tourer-223i-xdrive-46413810
Dusseldorp Schiedam,BMW 2 Serie,Active Tourer 225e xDrive,2024 | 26862 km | Hybrid,€ 38.950,https://www.dusseldorpbmw.nl/aanbod/bmw-2-serie-occasion-active-tourer-225e-xdrive-46420889
Dusseldorp Apeldoorn,BMW i5,M60 xDrive 84 kWh,2025 | 501 km | Elektrisch,€ 84.900,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-occasion-m60-xdrive-84-kwh-46422428
Dusseldorp Brielle,BMW 2 Serie,Active Tourer 230e xDrive,2024 | 27870 km | Hybrid,€ 46.450,https://www.dusseldorpbmw.nl/aanbod/bmw-2-serie-occasion-active-tourer-230e-xdrive-46424703
Dusseldorp Den Haag,BMW iX1,eDrive20 67 kWh,2025 | 10 km | Elektrisch,€ 57.000,https://www.dusseldorpbmw.nl/aanbod/bmw-ix1-nieuw-edrive20-67-kwh-46424754
Dusseldorp Oostzaan,BMW i4,eDrive40 84 kWh,2025 | 10 km | Elektrisch,€ 74.732,https://www.dusseldorpbmw.nl/aanbod/bmw-i4-nieuw-edrive40-84-kwh-46424762
Dusseldorp Den Haag,BMW i4,eDrive40 M Sport Pro,2025 | 10 km | Elektrisch,€ 80.832,https://www.dusseldorpbmw.nl/aanbod/bmw-i4-nieuw-edrive40-m-sport-pro-46424767
Dusseldorp Alkmaar,BMW i4,eDrive35 M Sport Edition 70 kWh,2025 | 10 km | Elektrisch,€ 68.046,https://www.dusseldorpbmw.nl/aanbod/bmw-i4-nieuw-edrive35-m-sport-edition-70-kwh-46424774
Dusseldorp Hoorn,BMW X1,xDrive20i Business Edition Plus,2021 | 87313 km | Benzine,€ 33.450,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-occasion-xdrive20i-business-edition-plus-46425440
Dusseldorp Hoorn,BMW 2 Serie,218i Active Tourer,2021 | 90364 km | Benzine,€ 24.950,https://www.dusseldorpbmw.nl/aanbod/bmw-2-serie-occasion-218i-active-tourer-46425450
Dusseldorp Oostzaan,BMW 2 Serie,220 Gran Coupé M Sport Design Edition,2025 | 3450 km | Benzine,€ 55.950,https://www.dusseldorpbmw.nl/aanbod/bmw-2-serie-company-car-220-gran-coupe-m-sport-design-edition-46425607
Dusseldorp Apeldoorn,BMW 1 Serie,118i Business Edition Plus,2021 | 78816 km | Benzine,€ 26.950,https://www.dusseldorpbmw.nl/aanbod/bmw-1-serie-occasion-118i-business-edition-plus-46425622
Dusseldorp Hoorn,BMW 4 Serie,420i High Executive Cabrio,2021 | 77636 km | Benzine,€ 47.950,https://www.dusseldorpbmw.nl/aanbod/bmw-4-serie-occasion-420i-high-executive-cabrio-46426110
Dusseldorp Oostzaan,BMW 3 Serie,Touring 330e,2025 | 10 km | Hybrid,€ 73.958,https://www.dusseldorpbmw.nl/aanbod/bmw-3-serie-nieuw-touring-330e-46426673
Dusseldorp Alkmaar,Alpina B3,GT Touring SWITCH-TRONIC Allrad,2025 | 10 km | Benzine,€ 187.879,https://www.dusseldorpbmw.nl/aanbod/alpina-b3-nieuw-gt-touring-switch-tronic-allrad-46428792
Dusseldorp Apeldoorn,BMW 1 Serie,118i Executive Edition,2020 | 43711 km | Benzine,€ 25.950,https://www.dusseldorpbmw.nl/aanbod/bmw-1-serie-occasion-118i-executive-edition-46440540
Dusseldorp Rotterdam Zuid,BMW 2 Serie,Gran Tourer 216d Executive Edition,2020 | 128610 km | Diesel,€ 20.950,https://www.dusseldorpbmw.nl/aanbod/bmw-2-serie-occasion-gran-tourer-216d-executive-edition-46441743
Dusseldorp Hoorn,BMW i5,M60 xDrive 84 kWh,2025 | 3000 km | Elektrisch,€ 130.261,https://www.dusseldorpbmw.nl/aanbod/bmw-i5-company-car-m60-xdrive-84-kwh-46443057
Dusseldorp Apeldoorn,BMW 1 Serie,120 M-Sport,2025 | 6532 km | Benzine,€ 41.750,https://www.dusseldorpbmw.nl/aanbod/bmw-1-serie-company-car-120-m-sport-46444665
Dusseldorp Wateringen,BMW XM,PHEV 50e 30 kWh,2025 | 8370 km | Hybrid,€ 114.750,https://www.dusseldorpbmw.nl/aanbod/bmw-xm-occasion-phev-50e-30-kwh-46445786
Dusseldorp Wateringen,BMW X1,sDrive18i M Sport Business Edition,2022 | 62565 km | Benzine,€ 34.950,https://www.dusseldorpbmw.nl/aanbod/bmw-x1-occasion-sdrive18i-m-sport-business-edition-46450584
Dusseldorp Wateringen,BMW X4,xDrive20i M Sport,2024 | 37219 km | Benzine,€ 66.950,https://www.dusseldorpbmw.nl/aanbod/bmw-x4-occasion-xdrive20i-m-sport-46450644
Dusseldorp Wateringen,BMW 2 Serie,Active Tourer 225e xDrive,2024 | 14269 km | Hybrid,€ 42.950,https://www.dusseldorpbmw.nl/aanbod/bmw-2-serie-occasion-active-tourer-225e-xdrive-46450668
