Title,Subtitle,Year,Mileage,Fuel Type,Price,Monthly Price,Details Link,Location
BMW 5 Serie,Touring 530e 530e | M Sportpakket Pro | Individual Lak | Innovation Pack | Comfort Pack | Travel Pack | Trekhaak,2025,5 km,Hybride benzine,"104.044,-","1.273,-",https://www.ekris.nl/bmw/p/46625727/bmw-5-serie-touring-530e-46625727,Ekris Veenendaal
BMW X5,xDrive50e | M-Sportpakket | LED | HUD | Schuifdak | Trekhaak | Comfortzetels | DAB | Harman-kardon sound | Alu 22 inch,2024,23.000 km,Hybride benzine,"104.900,-","1.428,-",https://www.ekris.nl/bmw/p/44418293/bmw-x5-xdrive50e-44418293,Ekris Heerenveen
BMW 7 Serie,Sedan 740d xDrive | M-Sportpakket | LED | Leder | HUD | Schuifdak | Active steering | Shadow line,2024,35.000 km,Diesel,"104.900,-","1.428,-",https://www.ekris.nl/bmw/p/41391024/bmw-7-serie-sedan-740d-xdrive-41391024,Ekris Heerenveen
BMW 3 Serie,M3 Sedan xDrive Competition Parking Pack | Safety Pack | Stuurwielrand Verwarmd | Adaptief M Onderstel | Driving Assistant Professional | Laserlight | Head-Up Display | Harman Kardon | 19/20'',2022,35.835 km,Benzine,"104.950,-","1.429,-",https://www.ekris.nl/bmw/p/46059880/bmw-3-serie-m3-sedan-xdrive-competition-46059880,Ekris Utrecht
BMW iX,xDrive45 | M Sportpakket | M Sportpakket Pro | Comfort Pack icm M Sportpakket | Innovation Pack,2025,5 km,Elektrisch,"105.176,-","1.189,-",https://www.ekris.nl/bmw/p/45493583/bmw-ix-xdrive45-45493583,Ekris Maastricht
BMW 4 Serie,430i xDrive Cabrio | M Sportpakket Pro | Innovation Pack | Comfort Pack,2025,5 km,Benzine,"105.418,-","1.388,-",https://www.ekris.nl/bmw/p/46622292/bmw-4-serie-430i-xdrive-cabrio-46622292,Ekris Groningen
BMW iX xDrive40,Sport Pakket | Luchtvering / Soft-Close / Panoramadak / Comfort Stoelen / Head-up / Laserlight / Harman Kardon,2025,3.350 km,Elektrisch,"105.450,-","1.192,-",https://www.ekris.nl/bmw/p/46295578/bmw-ix-xdrive40-46295578,Ekris Veenendaal
BMW 4 Serie,430i xDrive Coupé | M Sportpakket Pro | Innovation Pack | Comfort Pack,2025,5 km,Benzine,"105.451,-","1.388,-",https://www.ekris.nl/bmw/p/45754781/bmw-4-serie-430i-xdrive-coupe-45754781,Ekris Heerenveen
BMW X5,xDrive50e | M Sportpakket Pro | Innovation Pack | Comfort Access | Soft-Close | Stoelverwarming | Stoelventilatie | Stoelmassage | Harman Kardon | 22'' | Trekhaak,2024,18.999 km,Hybride benzine,"105.595,-","1.438,-",https://www.ekris.nl/bmw/p/45381362/bmw-x5-xdrive50e-45381362,Ekris Arnhem
BMW X5,xDrive50e | M-Sport | 22inch | Harman/Kardon | Panoramadak Sky Lounge | Comfortzetels,2024,26.123 km,Hybride benzine,"105.900,-","1.442,-",https://www.ekris.nl/bmw/p/44478506/bmw-x5-xdrive50e-44478506,Ekris Assen
