Vehicle Name,Vehicle Subtitle,Vehicle Price,Vehicle Tags,Business Finance,Location
BMW 3 Serie Touring,318i,€ 52.900 v.a. € 543 p/m,2025 9.865 km Automaat Benzine,v.a. € 543 p/m,Van Poelgeest Naarden - PS Center
BMW i3,Executive Edition 120Ah 42 kWh,€ 19.900 v.a. € 176 p/m,2019 85.864 km Automaat Elektrisch,v.a. € 176 p/m,Van Poelgeest Amsterdam
BMW X3 M,Competition,€ 66.900 v.a. € 687 p/m,2020 91.242 km Automaat Benzine,v.a. € 687 p/m,Van Poelgeest Hilversum
BMW 3 Serie Sedan,318i,€ 49.900 v.a. € 512 p/m,2024 15.805 km Automaat Benzine,v.a. € 512 p/m,Van Poelgeest Amstelveen
BMW X7,xDrive40i,€ 193.402 v.a. € 1986 p/m,2025 5 km Automaat Benzine,v.a. € 1986 p/m,Van Poelgeest Noordwijk
BMW X3,30e xDrive,€ 83.816 v.a. € 801 p/m,2025 1 km Automaat Hybride,v.a. € 801 p/m,Van Poelgeest Gouda
BMW i5 Touring,eDrive40 M Sport Edition,€ 98.510 v.a. € 870 p/m,2025 1 km Automaat Elektrisch,v.a. € 870 p/m,Van Poelgeest Amersfoort
BMW i4,eDrive35 M Sport Edition,€ 70.950 v.a. € 626 p/m,2025 1 km Automaat Elektrisch,v.a. € 626 p/m,Van Poelgeest Amsterdam
BMW i4,eDrive35 M Sport Edition,€ 69.641 v.a. € 615 p/m,2025 1 km Automaat Elektrisch,v.a. € 615 p/m,Van Poelgeest Amsterdam
BMW 2 Serie Gran Coupé,220 M Sport Design Edition,€ 49.900 v.a. € 512 p/m,2025 12.000 km Automaat Benzine,v.a. € 512 p/m,Van Poelgeest Noordwijk
BMW 1 Serie,120 M Sport Design Edition,€ 45.900 v.a. € 471 p/m,2025 14.999 km Automaat Benzine,v.a. € 471 p/m,Van Poelgeest Amersfoort
BMW 5 Serie Sedan,530e,€ 82.900 v.a. € 851 p/m,2025 5.434 km Automaat Hybride,v.a. € 851 p/m,Van Poelgeest Amsterdam
